,0,1,2,3,4,5,6,7,8
0,序号,车型,上车时间,城 市,起点,终点,"里程
              
[公里]","金额
             
[元]",备注
1,1,"滴滴快
车",11-07 00:40 周六,深圳市,科技园|康佳研发大厦-西南门-…,宝安区|宝安公园-西门,11.3,35.29,
